,"U.S. nuclear capacity, daily (Megawatts)"
2009 1209 09,102489.1
2009 1210 10,102489.1
2009 1211 11,102489.1
2009 1212 12,102489.1
2009 1213 13,102489.1
2009 1214 14,102489.1
2009 1215 15,102489.1
2009 1216 16,102489.1
2009 1217 17,102489.1
2009 1218 18,102489.1
2009 1219 19,102489.1
2009 1220 20,102489.1
2009 1221 21,102489.1
2009 1222 22,102489.1
2009 1223 23,102489.1
2009 1224 24,102489.1
2009 1225 25,102489.1
2009 1226 26,102489.1
2009 1227 27,102489.1
2009 1228 28,102489.1
2009 1229 29,102489.1
2009 1230 30,102489.1
2009 1231 31,102489.1
2010 0101 01,102983.7
2010 0102 02,102983.7
2010 0103 03,102983.7
2010 0104 04,102983.7
2010 0105 05,102983.7
2010 0106 06,102983.7
2010 0107 07,102983.7
2010 0108 08,102983.7
2010 0109 09,102983.7
2010 0110 10,102983.7
2010 0111 11,102983.7
2010 0112 12,102983.7
2010 0113 13,102983.7
2010 0114 14,102983.7
2010 0115 15,102983.7
2010 0116 16,102983.7
2010 0117 17,102983.7
2010 0118 18,102983.7
2010 0119 19,102983.7
2010 0120 20,102983.7
2010 0121 21,102983.7
2010 0122 22,102983.7
2010 0123 23,102983.7
2010 0124 24,102983.7
2010 0125 25,102983.7
2010 0126 26,102983.7
2010 0127 27,102983.7
2010 0128 28,102983.7
2010 0129 29,102983.7
2010 0130 30,102983.7
2010 0131 31,102983.7
2010 0201 01,102983.7
2010 0202 02,102983.7
2010 0203 03,102983.7
2010 0204 04,102983.7
2010 0205 05,102983.7
2010 0206 06,102983.7
2010 0207 07,102983.7
2010 0208 08,102983.7
2010 0209 09,102983.7
2010 0210 10,102983.7
2010 0211 11,102983.7
2010 0212 12,102983.7
2010 0213 13,102983.7
2010 0214 14,102983.7
2010 0215 15,102983.7
2010 0216 16,102983.7
2010 0217 17,102983.7
2010 0218 18,102983.7
2010 0219 19,102983.7
2010 0220 20,102983.7
2010 0221 21,102983.7
2010 0222 22,102983.7
2010 0223 23,102983.7
2010 0224 24,102983.7
2010 0225 25,102983.7
2010 0226 26,102983.7
2010 0227 27,102983.7
2010 0228 28,102983.7
2010 0301 01,102983.7
2010 0302 02,102983.7
2010 0303 03,102983.7
2010 0304 04,102983.7
2010 0305 05,102983.7
2010 0306 06,102983.7
2010 0307 07,102983.7
2010 0308 08,102983.7
2010 0309 09,102983.7
2010 0310 10,102983.7
2010 0311 11,102983.7
2010 0312 12,102983.7
2010 0313 13,102983.7
2010 0314 14,102983.7
2010 0315 15,102983.7
2010 0316 16,102983.7
2010 0317 17,102983.7
2010 0318 18,102983.7
2010 0319 19,102983.7
2010 0320 20,102983.7
2010 0321 21,102983.7
2010 0322 22,102983.7
2010 0323 23,102983.7
2010 0324 24,102983.7
2010 0325 25,102983.7
2010 0326 26,102983.7
2010 0327 27,102983.7
2010 0328 28,102983.7
2010 0329 29,102983.7
2010 0330 30,102983.7
2010 0331 31,102983.7
2010 0401 01,101167.4
2010 0402 02,101167.4
2010 0403 03,101167.4
2010 0404 04,101167.4
2010 0405 05,101167.4
2010 0406 06,101167.4
2010 0407 07,101167.4
2010 0408 08,101167.4
2010 0409 09,101167.4
2010 0410 10,101167.4
2010 0411 11,101167.4
2010 0412 12,101167.4
2010 0413 13,101167.4
2010 0414 14,101167.4
2010 0415 15,101167.4
2010 0416 16,101167.4
2010 0417 17,101167.4
2010 0418 18,101167.4
2010 0419 19,101167.4
2010 0420 20,101167.4
2010 0421 21,101167.4
2010 0422 22,101167.4
2010 0423 23,101167.4
2010 0424 24,101167.4
2010 0425 25,101167.4
2010 0426 26,101167.4
2010 0427 27,101167.4
2010 0428 28,101167.4
2010 0429 29,101167.4
2010 0430 30,101167.4
2010 0501 01,101167.4
2010 0502 02,101167.4
2010 0503 03,101167.4
2010 0504 04,101167.4
2010 0505 05,101167.4
2010 0506 06,101167.4
2010 0507 07,101167.4
2010 0508 08,101167.4
2010 0509 09,101167.4
2010 0510 10,101167.4
2010 0511 11,101167.4
2010 0512 12,101167.4
2010 0513 13,101167.4
2010 0514 14,101167.4
2010 0515 15,101167.4
2010 0516 16,101167.4
2010 0517 17,101167.4
2010 0518 18,101167.4
2010 0519 19,101167.4
2010 0520 20,101167.4
2010 0521 21,101167.4
2010 0522 22,101167.4
2010 0523 23,101167.4
2010 0524 24,101167.4
2010 0525 25,101167.4
2010 0526 26,101167.4
2010 0527 27,101167.4
2010 0528 28,101167.4
2010 0529 29,101167.4
2010 0530 30,101167.4
2010 0531 31,101167.4
2010 0601 01,101167.4
2010 0602 02,101167.4
2010 0603 03,101167.4
2010 0604 04,101167.4
2010 0605 05,101167.4
2010 0606 06,101167.4
2010 0607 07,101167.4
2010 0608 08,101167.4
2010 0609 09,101167.4
2010 0610 10,101167.4
2010 0611 11,101167.4
2010 0612 12,101167.4
2010 0613 13,101167.4
2010 0614 14,101167.4
2010 0615 15,101167.4
2010 0616 16,101167.4
2010 0617 17,101167.4
2010 0618 18,101167.4
2010 0619 19,101167.4
2010 0620 20,101167.4
2010 0621 21,101167.4
2010 0622 22,101167.4
2010 0623 23,101167.4
2010 0624 24,101167.4
2010 0625 25,101167.4
2010 0626 26,101167.4
2010 0627 27,101167.4
2010 0628 28,101167.4
2010 0629 29,101167.4
2010 0630 30,101167.4
2010 0701 01,101167.4
2010 0702 02,101167.4
2010 0703 03,101167.4
2010 0704 04,101167.4
2010 0705 05,101167.4
2010 0706 06,101167.4
2010 0707 07,101167.4
2010 0708 08,101167.4
2010 0709 09,101167.4
2010 0710 10,101167.4
2010 0711 11,101167.4
2010 0712 12,101167.4
2010 0713 13,101167.4
2010 0714 14,101167.4
2010 0715 15,101167.4
2010 0716 16,101167.4
2010 0717 17,101167.4
2010 0718 18,101167.4
2010 0719 19,101167.4
2010 0720 20,101167.4
2010 0721 21,101167.4
2010 0722 22,101167.4
2010 0723 23,101167.4
2010 0724 24,101167.4
2010 0725 25,101167.4
2010 0726 26,101167.4
2010 0727 27,101167.4
2010 0728 28,101167.4
2010 0729 29,101167.4
2010 0730 30,101167.4
2010 0731 31,101167.4
2010 0801 01,101167.4
2010 0802 02,101167.4
2010 0803 03,101167.4
2010 0804 04,101167.4
2010 0805 05,101167.4
2010 0806 06,101167.4
2010 0807 07,101167.4
2010 0808 08,101167.4
2010 0809 09,101167.4
2010 0810 10,101167.4
2010 0811 11,101167.4
2010 0812 12,101167.4
2010 0813 13,101167.4
2010 0814 14,101167.4
2010 0815 15,101167.4
2010 0816 16,101167.4
2010 0817 17,101167.4
2010 0818 18,101167.4
2010 0819 19,101167.4
2010 0820 20,101167.4
2010 0821 21,101167.4
2010 0822 22,101167.4
2010 0823 23,101167.4
2010 0824 24,101167.4
2010 0825 25,101167.4
2010 0826 26,101167.4
2010 0827 27,101167.4
2010 0828 28,101167.4
2010 0829 29,101167.4
2010 0830 30,101167.4
2010 0831 31,101167.4
2010 0901 01,101167.4
2010 0902 02,101167.4
2010 0903 03,101167.4
2010 0904 04,101167.4
2010 0905 05,101167.4
2010 0906 06,101167.4
2010 0907 07,101167.4
2010 0908 08,101167.4
2010 0909 09,101167.4
2010 0910 10,101167.4
2010 0911 11,101167.4
2010 0912 12,101167.4
2010 0913 13,101167.4
2010 0914 14,101167.4
2010 0915 15,101167.4
2010 0916 16,101167.4
2010 0917 17,101167.4
2010 0918 18,101167.4
2010 0919 19,101167.4
2010 0920 20,101167.4
2010 0921 21,101167.4
2010 0922 22,101167.4
2010 0923 23,101167.4
2010 0924 24,101167.4
2010 0925 25,101167.4
2010 0926 26,101167.4
2010 0927 27,101167.4
2010 0928 28,101167.4
2010 0929 29,101167.4
2010 0930 30,101167.4
2010 1001 01,102983.7
2010 1002 02,102983.7
2010 1003 03,102983.7
2010 1004 04,102983.7
2010 1005 05,102983.7
2010 1006 06,102983.7
2010 1007 07,102983.7
2010 1008 08,102983.7
2010 1009 09,102983.7
2010 1010 10,102983.7
2010 1011 11,102983.7
2010 1012 12,102983.7
2010 1013 13,102983.7
2010 1014 14,102983.7
2010 1015 15,102983.7
2010 1016 16,102983.7
2010 1017 17,102983.7
2010 1018 18,102983.7
2010 1019 19,102983.7
2010 1020 20,102983.7
2010 1021 21,102983.7
2010 1022 22,102983.7
2010 1023 23,102983.7
2010 1024 24,102983.7
2010 1025 25,102983.7
2010 1026 26,102983.7
2010 1027 27,102983.7
2010 1028 28,102983.7
2010 1029 29,102983.7
2010 1030 30,102983.7
2010 1031 31,102983.7
2010 1101 01,102983.7
2010 1102 02,102983.7
2010 1103 03,102983.7
2010 1104 04,102983.7
2010 1105 05,102983.7
2010 1106 06,102983.7
2010 1107 07,102983.7
2010 1108 08,102983.7
2010 1109 09,102983.7
2010 1110 10,102983.7
2010 1111 11,102983.7
2010 1112 12,102983.7
2010 1113 13,102983.7
2010 1114 14,102983.7
2010 1115 15,102983.7
2010 1116 16,102983.7
2010 1117 17,102983.7
2010 1118 18,102983.7
2010 1119 19,102983.7
2010 1120 20,102983.7
2010 1121 21,102983.7
2010 1122 22,102983.7
2010 1123 23,102983.7
2010 1124 24,102983.7
2010 1125 25,102983.7
2010 1126 26,102983.7
2010 1127 27,102983.7
2010 1128 28,102983.7
2010 1129 29,102983.7
2010 1130 30,102983.7
2010 1201 01,102983.7
2010 1202 02,102983.7
2010 1203 03,102983.7
2010 1204 04,102983.7
2010 1205 05,102983.7
2010 1206 06,102983.7
2010 1207 07,102983.7
2010 1208 08,102983.7
2010 1209 09,102983.7
2010 1210 10,102983.7
2010 1211 11,102983.7
2010 1212 12,102983.7
2010 1213 13,102983.7
2010 1214 14,102983.7
2010 1215 15,102983.7
2010 1216 16,102983.7
2010 1217 17,102983.7
2010 1218 18,102983.7
2010 1219 19,102983.7
2010 1220 20,102983.7
2010 1221 21,102983.7
2010 1222 22,102983.7
2010 1223 23,102983.7
2010 1224 24,102983.7
2010 1225 25,102983.7
2010 1226 26,102983.7
2010 1227 27,102983.7
2010 1228 28,102983.7
2010 1229 29,102983.7
2010 1230 30,102983.7
2010 1231 31,102983.7
2011 0101 01,103173.9
2011 0102 02,103173.9
2011 0103 03,103173.9
2011 0104 04,103173.9
2011 0105 05,103173.9
2011 0106 06,103173.9
2011 0107 07,103173.9
2011 0108 08,103173.9
2011 0109 09,103173.9
2011 0110 10,103173.9
2011 0111 11,103173.9
2011 0112 12,103173.9
2011 0113 13,103173.9
2011 0114 14,103173.9
2011 0115 15,103173.9
2011 0116 16,103173.9
2011 0117 17,103173.9
2011 0118 18,103173.9
2011 0119 19,103173.9
2011 0120 20,103173.9
2011 0121 21,103173.9
2011 0122 22,103173.9
2011 0123 23,103173.9
2011 0124 24,103173.9
2011 0125 25,103173.9
2011 0126 26,103173.9
2011 0127 27,103173.9
2011 0128 28,103173.9
2011 0129 29,103173.9
2011 0130 30,103173.9
2011 0131 31,103173.9
2011 0201 01,103173.9
2011 0202 02,103173.9
2011 0203 03,103173.9
2011 0204 04,103173.9
2011 0205 05,103173.9
2011 0206 06,103173.9
2011 0207 07,103173.9
2011 0208 08,103173.9
2011 0209 09,103173.9
2011 0210 10,103173.9
2011 0211 11,103173.9
2011 0212 12,103173.9
2011 0213 13,103173.9
2011 0214 14,103173.9
2011 0215 15,103173.9
2011 0216 16,103173.9
2011 0217 17,103173.9
2011 0218 18,103173.9
2011 0219 19,103173.9
2011 0220 20,103173.9
2011 0221 21,103173.9
2011 0222 22,103173.9
2011 0223 23,103173.9
2011 0224 24,103173.9
2011 0225 25,103173.9
2011 0226 26,103173.9
2011 0227 27,103173.9
2011 0228 28,103173.9
2011 0301 01,103173.9
2011 0302 02,103173.9
2011 0303 03,103173.9
2011 0304 04,103173.9
2011 0305 05,103173.9
2011 0306 06,103173.9
2011 0307 07,103173.9
2011 0308 08,103173.9
2011 0309 09,103173.9
2011 0310 10,103173.9
2011 0311 11,103173.9
2011 0312 12,103173.9
2011 0313 13,103173.9
2011 0314 14,103173.9
2011 0315 15,103173.9
2011 0316 16,103173.9
2011 0317 17,103173.9
2011 0318 18,103173.9
2011 0319 19,103173.9
2011 0320 20,103173.9
2011 0321 21,103173.9
2011 0322 22,103173.9
2011 0323 23,103173.9
2011 0324 24,103173.9
2011 0325 25,103173.9
2011 0326 26,103173.9
2011 0327 27,103173.9
2011 0328 28,103173.9
2011 0329 29,103173.9
2011 0330 30,103173.9
2011 0331 31,103173.9
2011 0401 01,101162.8
2011 0402 02,101162.8
2011 0403 03,101162.8
2011 0404 04,101162.8
2011 0405 05,101162.8
2011 0406 06,101162.8
2011 0407 07,101162.8
2011 0408 08,101162.8
2011 0409 09,101162.8
2011 0410 10,101162.8
2011 0411 11,101162.8
2011 0412 12,101162.8
2011 0413 13,101162.8
2011 0414 14,101162.8
2011 0415 15,101162.8
2011 0416 16,101162.8
2011 0417 17,101162.8
2011 0418 18,101162.8
2011 0419 19,101162.8
2011 0420 20,101162.8
2011 0421 21,101162.8
2011 0422 22,101162.8
2011 0423 23,101162.8
2011 0424 24,101162.8
2011 0425 25,101162.8
2011 0426 26,101162.8
2011 0427 27,101162.8
2011 0428 28,101162.8
2011 0429 29,101162.8
2011 0430 30,101162.8
2011 0501 01,101162.8
2011 0502 02,101162.8
2011 0503 03,101162.8
2011 0504 04,101162.8
2011 0505 05,101162.8
2011 0506 06,101162.8
2011 0507 07,101162.8
2011 0508 08,101162.8
2011 0509 09,101162.8
2011 0510 10,101162.8
2011 0511 11,101162.8
2011 0512 12,101162.8
2011 0513 13,101162.8
2011 0514 14,101162.8
2011 0515 15,101162.8
2011 0516 16,101162.8
2011 0517 17,101162.8
2011 0518 18,101162.8
2011 0519 19,101162.8
2011 0520 20,101162.8
2011 0521 21,101162.8
2011 0522 22,101162.8
2011 0523 23,101162.8
2011 0524 24,101162.8
2011 0525 25,101162.8
2011 0526 26,101162.8
2011 0527 27,101162.8
2011 0528 28,101162.8
2011 0529 29,101162.8
2011 0530 30,101162.8
2011 0531 31,101162.8
2011 0601 01,101276.8
2011 0602 02,101276.8
2011 0603 03,101276.8
2011 0604 04,101276.8
2011 0605 05,101276.8
2011 0606 06,101276.8
2011 0607 07,101276.8
2011 0608 08,101276.8
2011 0609 09,101276.8
2011 0610 10,101276.8
2011 0611 11,101276.8
2011 0612 12,101276.8
2011 0613 13,101276.8
2011 0614 14,101276.8
2011 0615 15,101276.8
2011 0616 16,101276.8
2011 0617 17,101276.8
2011 0618 18,101276.8
2011 0619 19,101276.8
2011 0620 20,101276.8
2011 0621 21,101276.8
2011 0622 22,101276.8
2011 0623 23,101276.8
2011 0624 24,101276.8
2011 0625 25,101276.8
2011 0626 26,101276.8
2011 0627 27,101276.8
2011 0628 28,101276.8
2011 0629 29,101276.8
2011 0630 30,101276.8
2011 0701 01,101276.8
2011 0702 02,101276.8
2011 0703 03,101276.8
2011 0704 04,101276.8
2011 0705 05,101276.8
2011 0706 06,101276.8
2011 0707 07,101276.8
2011 0708 08,101276.8
2011 0709 09,101276.8
2011 0710 10,101276.8
2011 0711 11,101276.8
2011 0712 12,101276.8
2011 0713 13,101276.8
2011 0714 14,101276.8
2011 0715 15,101276.8
2011 0716 16,101276.8
2011 0717 17,101276.8
2011 0718 18,101276.8
2011 0719 19,101276.8
2011 0720 20,101276.8
2011 0721 21,101276.8
2011 0722 22,101276.8
2011 0723 23,101276.8
2011 0724 24,101276.8
2011 0725 25,101276.8
2011 0726 26,101276.8
2011 0727 27,101276.8
2011 0728 28,101276.8
2011 0729 29,101276.8
2011 0730 30,101276.8
2011 0731 31,101276.8
2011 0801 01,101346.8
2011 0802 02,101346.8
2011 0803 03,101346.8
2011 0804 04,101346.8
2011 0805 05,101346.8
2011 0806 06,101346.8
2011 0807 07,101346.8
2011 0808 08,101346.8
2011 0809 09,101346.8
2011 0810 10,101346.8
2011 0811 11,101346.8
2011 0812 12,101346.8
2011 0813 13,101346.8
2011 0814 14,101346.8
2011 0815 15,101346.8
2011 0816 16,101346.8
2011 0817 17,101346.8
2011 0818 18,101346.8
2011 0819 19,101346.8
2011 0820 20,101346.8
2011 0821 21,101346.8
2011 0822 22,101346.8
2011 0823 23,101346.8
2011 0824 24,101346.8
2011 0825 25,101346.8
2011 0826 26,101346.8
2011 0827 27,101346.8
2011 0828 28,101346.8
2011 0829 29,101346.8
2011 0830 30,101346.8
2011 0831 31,101346.8
2011 0901 01,101346.8
2011 0902 02,101346.8
2011 0903 03,101346.8
2011 0904 04,101346.8
2011 0905 05,101346.8
2011 0906 06,101346.8
2011 0907 07,101346.8
2011 0908 08,101346.8
2011 0909 09,101346.8
2011 0910 10,101346.8
2011 0911 11,101346.8
2011 0912 12,101346.8
2011 0913 13,101346.8
2011 0914 14,101346.8
2011 0915 15,101346.8
2011 0916 16,101346.8
2011 0917 17,101346.8
2011 0918 18,101346.8
2011 0919 19,101346.8
2011 0920 20,101346.8
2011 0921 21,101346.8
2011 0922 22,101346.8
2011 0923 23,101346.8
2011 0924 24,101346.8
2011 0925 25,101346.8
2011 0926 26,101346.8
2011 0927 27,101346.8
2011 0928 28,101346.8
2011 0929 29,101346.8
2011 0930 30,101346.8
2011 1001 01,103406.9
2011 1002 02,103406.9
2011 1003 03,103406.9
2011 1004 04,103406.9
2011 1005 05,103406.9
2011 1006 06,103406.9
2011 1007 07,103406.9
2011 1008 08,103406.9
2011 1009 09,103406.9
2011 1010 10,103406.9
2011 1011 11,103406.9
2011 1012 12,103406.9
2011 1013 13,103406.9
2011 1014 14,103406.9
2011 1015 15,103406.9
2011 1016 16,103406.9
2011 1017 17,103406.9
2011 1018 18,103406.9
2011 1019 19,103406.9
2011 1020 20,103406.9
2011 1021 21,103406.9
2011 1022 22,103406.9
2011 1023 23,103406.9
2011 1024 24,103406.9
2011 1025 25,103406.9
2011 1026 26,103406.9
2011 1027 27,103406.9
2011 1028 28,103406.9
2011 1029 29,103406.9
2011 1030 30,103406.9
2011 1031 31,103406.9
2011 1101 01,103406.9
2011 1102 02,103406.9
2011 1103 03,103406.9
2011 1104 04,103406.9
2011 1105 05,103406.9
2011 1106 06,103406.9
2011 1107 07,103406.9
2011 1108 08,103406.9
2011 1109 09,103406.9
2011 1110 10,103406.9
2011 1111 11,103406.9
2011 1112 12,103406.9
2011 1113 13,103406.9
2011 1114 14,103406.9
2011 1115 15,103406.9
2011 1116 16,103406.9
2011 1117 17,103406.9
2011 1118 18,103406.9
2011 1119 19,103406.9
2011 1120 20,103406.9
2011 1121 21,103406.9
2011 1122 22,103406.9
2011 1123 23,103406.9
2011 1124 24,103406.9
2011 1125 25,103406.9
2011 1126 26,103406.9
2011 1127 27,103406.9
2011 1128 28,103406.9
2011 1129 29,103406.9
2011 1130 30,103406.9
2011 1201 01,103506.9
2011 1202 02,103506.9
2011 1203 03,103506.9
2011 1204 04,103506.9
2011 1205 05,103506.9
2011 1206 06,103506.9
2011 1207 07,103506.9
2011 1208 08,103506.9
2011 1209 09,103506.9
2011 1210 10,103506.9
2011 1211 11,103506.9
2011 1212 12,103506.9
2011 1213 13,103506.9
2011 1214 14,103506.9
2011 1215 15,103506.9
2011 1216 16,103506.9
2011 1217 17,103506.9
2011 1218 18,103506.9
2011 1219 19,103506.9
2011 1220 20,103506.9
2011 1221 21,103506.9
2011 1222 22,103506.9
2011 1223 23,103506.9
2011 1224 24,103506.9
2011 1225 25,103506.9
2011 1226 26,103506.9
2011 1227 27,103506.9
2011 1228 28,103506.9
2011 1229 29,103506.9
2011 1230 30,103506.9
2011 1231 31,103506.9
2012 0101 01,103876.0
2012 0102 02,103876.0
2012 0103 03,103876.0
2012 0104 04,103876.0
2012 0105 05,103876.0
2012 0106 06,103876.0
2012 0107 07,103876.0
2012 0108 08,103876.0
2012 0109 09,103876.0
2012 0110 10,103876.0
2012 0111 11,103876.0
2012 0112 12,103876.0
2012 0113 13,103876.0
2012 0114 14,103876.0
2012 0115 15,103876.0
2012 0116 16,103876.0
2012 0117 17,103876.0
2012 0118 18,103876.0
2012 0119 19,103876.0
2012 0120 20,103876.0
2012 0121 21,103876.0
2012 0122 22,103876.0
2012 0123 23,103876.0
2012 0124 24,103876.0
2012 0125 25,103876.0
2012 0126 26,103876.0
2012 0127 27,103876.0
2012 0128 28,103876.0
2012 0129 29,103876.0
2012 0130 30,103876.0
2012 0131 31,103876.0
2012 0201 01,103876.0
2012 0202 02,103876.0
2012 0203 03,103876.0
2012 0204 04,103876.0
2012 0205 05,103876.0
2012 0206 06,103876.0
2012 0207 07,103876.0
2012 0208 08,103876.0
2012 0209 09,103876.0
2012 0210 10,103876.0
2012 0211 11,103876.0
2012 0212 12,103876.0
2012 0213 13,103876.0
2012 0214 14,103876.0
2012 0215 15,103876.0
2012 0216 16,103876.0
2012 0217 17,103876.0
2012 0218 18,103876.0
2012 0219 19,103876.0
2012 0220 20,103876.0
2012 0221 21,103876.0
2012 0222 22,103876.0
2012 0223 23,103876.0
2012 0224 24,103876.0
2012 0225 25,103876.0
2012 0226 26,103876.0
2012 0227 27,103876.0
2012 0228 28,103876.0
2012 0229 29,103876.0
2012 0301 01,103876.0
2012 0302 02,103876.0
2012 0303 03,103876.0
2012 0304 04,103876.0
2012 0305 05,103876.0
2012 0306 06,103876.0
2012 0307 07,103876.0
2012 0308 08,103876.0
2012 0309 09,103876.0
2012 0310 10,103876.0
2012 0311 11,103876.0
2012 0312 12,103876.0
2012 0313 13,103876.0
2012 0314 14,103876.0
2012 0315 15,103876.0
2012 0316 16,103876.0
2012 0317 17,103876.0
2012 0318 18,103876.0
2012 0319 19,103876.0
2012 0320 20,103876.0
2012 0321 21,103876.0
2012 0322 22,103876.0
2012 0323 23,103876.0
2012 0324 24,103876.0
2012 0325 25,103876.0
2012 0326 26,103876.0
2012 0327 27,103876.0
2012 0328 28,103876.0
2012 0329 29,103876.0
2012 0330 30,103876.0
2012 0331 31,103876.0
2012 0401 01,101602.0
2012 0402 02,101602.0
2012 0403 03,101602.0
2012 0404 04,101602.0
2012 0405 05,101602.0
2012 0406 06,101602.0
2012 0407 07,101602.0
2012 0408 08,101602.0
2012 0409 09,101602.0
2012 0410 10,101602.0
2012 0411 11,101602.0
2012 0412 12,101602.0
2012 0413 13,101602.0
2012 0414 14,101602.0
2012 0415 15,101602.0
2012 0416 16,101602.0
2012 0417 17,101602.0
2012 0418 18,101602.0
2012 0419 19,101602.0
2012 0420 20,101602.0
2012 0421 21,101602.0
2012 0422 22,101602.0
2012 0423 23,101602.0
2012 0424 24,101602.0
2012 0425 25,101602.0
2012 0426 26,101602.0
2012 0427 27,101602.0
2012 0428 28,101602.0
2012 0429 29,101602.0
2012 0430 30,101602.0
2012 0501 01,101625.0
2012 0502 02,101625.0
2012 0503 03,101625.0
2012 0504 04,101625.0
2012 0505 05,101625.0
2012 0506 06,101625.0
2012 0507 07,101625.0
2012 0508 08,101625.0
2012 0509 09,101625.0
2012 0510 10,101625.0
2012 0511 11,101625.0
2012 0512 12,101625.0
2012 0513 13,101625.0
2012 0514 14,101625.0
2012 0515 15,101625.0
2012 0516 16,101625.0
2012 0517 17,101625.0
2012 0518 18,101625.0
2012 0519 19,101625.0
2012 0520 20,101625.0
2012 0521 21,101625.0
2012 0522 22,101625.0
2012 0523 23,101625.0
2012 0524 24,101625.0
2012 0525 25,101625.0
2012 0526 26,101625.0
2012 0527 27,101625.0
2012 0528 28,101625.0
2012 0529 29,101625.0
2012 0530 30,101625.0
2012 0531 31,101625.0
2012 0601 01,101625.0
2012 0602 02,101625.0
2012 0603 03,101625.0
2012 0604 04,101625.0
2012 0605 05,101625.0
2012 0606 06,101625.0
2012 0607 07,101625.0
2012 0608 08,101625.0
2012 0609 09,101625.0
2012 0610 10,101625.0
2012 0611 11,101625.0
2012 0612 12,101625.0
2012 0613 13,101625.0
2012 0614 14,101625.0
2012 0615 15,101625.0
2012 0616 16,101625.0
2012 0617 17,101625.0
2012 0618 18,101625.0
2012 0619 19,101625.0
2012 0620 20,101625.0
2012 0621 21,101625.0
2012 0622 22,101625.0
2012 0623 23,101625.0
2012 0624 24,101625.0
2012 0625 25,101625.0
2012 0626 26,101625.0
2012 0627 27,101625.0
2012 0628 28,101625.0
2012 0629 29,101625.0
2012 0630 30,101625.0
2012 0701 01,101747.0
2012 0702 02,101747.0
2012 0703 03,101747.0
2012 0704 04,101747.0
2012 0705 05,101747.0
2012 0706 06,101747.0
2012 0707 07,101747.0
2012 0708 08,101747.0
2012 0709 09,101747.0
2012 0710 10,101747.0
2012 0711 11,101747.0
2012 0712 12,101747.0
2012 0713 13,101747.0
2012 0714 14,101747.0
2012 0715 15,101747.0
2012 0716 16,101747.0
2012 0717 17,101747.0
2012 0718 18,101747.0
2012 0719 19,101747.0
2012 0720 20,101747.0
2012 0721 21,101747.0
2012 0722 22,101747.0
2012 0723 23,101747.0
2012 0724 24,101747.0
2012 0725 25,101747.0
2012 0726 26,101747.0
2012 0727 27,101747.0
2012 0728 28,101747.0
2012 0729 29,101747.0
2012 0730 30,101747.0
2012 0731 31,101747.0
2012 0801 01,101856.0
2012 0802 02,101856.0
2012 0803 03,101856.0
2012 0804 04,101856.0
2012 0805 05,101856.0
2012 0806 06,101856.0
2012 0807 07,101856.0
2012 0808 08,101856.0
2012 0809 09,101856.0
2012 0810 10,101856.0
2012 0811 11,101856.0
2012 0812 12,101856.0
2012 0813 13,101856.0
2012 0814 14,101856.0
2012 0815 15,101856.0
2012 0816 16,101856.0
2012 0817 17,101856.0
2012 0818 18,101856.0
2012 0819 19,101856.0
2012 0820 20,101856.0
2012 0821 21,101856.0
2012 0822 22,101856.0
2012 0823 23,101856.0
2012 0824 24,101856.0
2012 0825 25,101856.0
2012 0826 26,101856.0
2012 0827 27,101856.0
2012 0828 28,101856.0
2012 0829 29,101856.0
2012 0830 30,101856.0
2012 0831 31,101856.0
2012 0901 01,101856.0
2012 0902 02,101856.0
2012 0903 03,101856.0
2012 0904 04,101856.0
2012 0905 05,101856.0
2012 0906 06,101856.0
2012 0907 07,101856.0
2012 0908 08,101856.0
2012 0909 09,101856.0
2012 0910 10,101856.0
2012 0911 11,101856.0
2012 0912 12,101856.0
2012 0913 13,101856.0
2012 0914 14,101856.0
2012 0915 15,101856.0
2012 0916 16,101856.0
2012 0917 17,101856.0
2012 0918 18,101856.0
2012 0919 19,101856.0
2012 0920 20,101856.0
2012 0921 21,101856.0
2012 0922 22,101856.0
2012 0923 23,101856.0
2012 0924 24,101856.0
2012 0925 25,101856.0
2012 0926 26,101856.0
2012 0927 27,101856.0
2012 0928 28,101856.0
2012 0929 29,101856.0
2012 0930 30,101856.0
2012 1001 01,104153.0
2012 1002 02,104153.0
2012 1003 03,104153.0
2012 1004 04,104153.0
2012 1005 05,104153.0
2012 1006 06,104153.0
2012 1007 07,104153.0
2012 1008 08,104153.0
2012 1009 09,104153.0
2012 1010 10,104153.0
2012 1011 11,104153.0
2012 1012 12,104153.0
2012 1013 13,104153.0
2012 1014 14,104153.0
2012 1015 15,104153.0
2012 1016 16,104153.0
2012 1017 17,104153.0
2012 1018 18,104153.0
2012 1019 19,104153.0
2012 1020 20,104153.0
2012 1021 21,104153.0
2012 1022 22,104153.0
2012 1023 23,104153.0
2012 1024 24,104153.0
2012 1025 25,104153.0
2012 1026 26,104153.0
2012 1027 27,104153.0
2012 1028 28,104153.0
2012 1029 29,104153.0
2012 1030 30,104153.0
2012 1031 31,104153.0
2012 1101 01,104182.0
2012 1102 02,104182.0
2012 1103 03,104182.0
2012 1104 04,104182.0
2012 1105 05,104182.0
2012 1106 06,104182.0
2012 1107 07,104182.0
2012 1108 08,104182.0
2012 1109 09,104182.0
2012 1110 10,104182.0
2012 1111 11,104182.0
2012 1112 12,104182.0
2012 1113 13,104182.0
2012 1114 14,104182.0
2012 1115 15,104182.0
2012 1116 16,104182.0
2012 1117 17,104182.0
